year,winner,winner_fractional_odds,winner_market_rank,favorite,favorite_fractional_odds,favorite_result,host,notes
1966,England,9/2,2,Brazil,7/4,Group stage,England,Home winner; favorite exited early.
1970,Brazil,7/2,2,England,3/1,Quarter-finals,Mexico,Winner was a short-priced contender, not the favorite.
1974,West Germany,9/4,1,West Germany,9/4,Champion,West Germany,Favorite converted on home soil.
1978,Argentina,4/1,2,Brazil,22/10,Second group stage,Argentina,Host and second favorite won.
1982,Italy,18/1,7,Brazil,15/8,Second group stage,Spain,Longest-priced champion in this sample.
1986,Argentina,7/2,2,Brazil,10/3,Quarter-finals,Mexico,Second favorite won behind a Brazil favorite.
1990,West Germany,6/1,4,Italy,3/1,Semi-finals,Italy,Fourth favorite beat Argentina in the final.
1994,Brazil,3/1,1,Brazil,3/1,Champion,United States,Favorite converted.
1998,France,6/1,2,Brazil,3/1,Runners-up,France,Host and second favorite won.
2002,Brazil,13/2,4,France,4/1,Group stage,South Korea/Japan,Favorite failed in group stage; fourth favorite won.
2006,Italy,8/1,4,Brazil,3/1,Quarter-finals,Germany,Italy won as a mid-short contender.
2010,Spain,4/1,1,Spain,4/1,Champion,South Africa,Favorite converted.
2014,Germany,13/2,3,Brazil,3/1,Semi-finals,Brazil,Joint third favorite won; host favorite lost heavily in semifinal.
2018,France,6/1,3,Brazil,4/1,Quarter-finals,Russia,Third favorite won; Croatia made final from 33/1.
2022,Argentina,11/2,2,Brazil,7/2,Quarter-finals,Qatar,Second favorite won after losing opening match.
